"value","date","location"
0,2020-03-01,"Belgium"
0,2020-03-02,"Belgium"
0,2020-03-03,"Belgium"
0,2020-03-04,"Belgium"
0,2020-03-05,"Belgium"
0,2020-03-06,"Belgium"
0,2020-03-07,"Belgium"
0,2020-03-08,"Belgium"
0,2020-03-09,"Belgium"
0,2020-03-10,"Belgium"
3,2020-03-11,"Belgium"
0,2020-03-12,"Belgium"
0,2020-03-13,"Belgium"
1,2020-03-14,"Belgium"
0,2020-03-15,"Belgium"
1,2020-03-16,"Belgium"
5,2020-03-17,"Belgium"
4,2020-03-18,"Belgium"
7,2020-03-19,"Belgium"
16,2020-03-20,"Belgium"
30,2020-03-21,"Belgium"
8,2020-03-22,"Belgium"
13,2020-03-23,"Belgium"
34,2020-03-24,"Belgium"
56,2020-03-25,"Belgium"
42,2020-03-26,"Belgium"
69,2020-03-27,"Belgium"
64,2020-03-28,"Belgium"
78,2020-03-29,"Belgium"
82,2020-03-30,"Belgium"
192,2020-03-31,"Belgium"
123,2020-04-01,"Belgium"
183,2020-04-02,"Belgium"
132,2020-04-03,"Belgium"
140,2020-04-04,"Belgium"
164,2020-04-05,"Belgium"
185,2020-04-06,"Belgium"
403,2020-04-07,"Belgium"
205,2020-04-08,"Belgium"
283,2020-04-09,"Belgium"
496,2020-04-10,"Belgium"
327,2020-04-11,"Belgium"
254,2020-04-12,"Belgium"
303,2020-04-13,"Belgium"
254,2020-04-14,"Belgium"
283,2020-04-15,"Belgium"
417,2020-04-16,"Belgium"
306,2020-04-17,"Belgium"
290,2020-04-18,"Belgium"
230,2020-04-19,"Belgium"
145,2020-04-20,"Belgium"
170,2020-04-21,"Belgium"
264,2020-04-22,"Belgium"
228,2020-04-23,"Belgium"
189,2020-04-24,"Belgium"
238,2020-04-25,"Belgium"
177,2020-04-26,"Belgium"
113,2020-04-27,"Belgium"
124,2020-04-28,"Belgium"
170,2020-04-29,"Belgium"
93,2020-04-30,"Belgium"
109,2020-05-01,"Belgium"
62,2020-05-02,"Belgium"
79,2020-05-03,"Belgium"
80,2020-05-04,"Belgium"
92,2020-05-05,"Belgium"
323,2020-05-06,"Belgium"
76,2020-05-07,"Belgium"
106,2020-05-08,"Belgium"
60,2020-05-09,"Belgium"
75,2020-05-10,"Belgium"
51,2020-05-11,"Belgium"
54,2020-05-12,"Belgium"
82,2020-05-13,"Belgium"
60,2020-05-14,"Belgium"
56,2020-05-15,"Belgium"
46,2020-05-16,"Belgium"
47,2020-05-17,"Belgium"
28,2020-05-18,"Belgium"
28,2020-05-19,"Belgium"
42,2020-05-20,"Belgium"
36,2020-05-21,"Belgium"
26,2020-05-22,"Belgium"
25,2020-05-23,"Belgium"
43,2020-05-24,"Belgium"
